business,month,total_profit
Lyft,4,-90197.13000000002
Uber,5,1.6313361548998427E8
Uber,4,1.5026982017998013E8
Lyft,3,-99403.94
Uber,2,1.3062880563000622E8
Lyft,1,-72633.34999999999
Uber,3,1.5207287640998194E8
Uber,1,1.3319711161004506E8
Lyft,2,-70064.72000000002
Lyft,5,-107719.21000000005
