business,month,sum(driver_total_pay)
Lyft,1,239932.26000000015
Lyft,2,234875.53000000014
Lyft,3,310276.5500000002
Lyft,4,297815.38000000035
Lyft,5,360408.09000000043
Uber,1,2.5025348066991255E8
Uber,2,2.5215597708998206E8
Uber,3,2.959584960099811E8
Uber,4,2.950689272199952E8
Uber,5,3.130051145499741E8
